Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Power,Price
2014,60000,1,0,20.7,113.98,23.5
2008,77650,1,1,17.2,53.5,1.15
2015,18955,3,0,18.0,117.3,10.65
2016,47877,1,0,16.36,187.7,35.68
2011,73000,1,1,18.3,147.9,4.2
2015,72007,1,1,15.1,140.0,9.9
2014,56778,3,0,11.74,186.0,15.46
2018,20024,3,1,18.2,88.7,8.46
2013,42103,3,1,16.78,88.73,3.25
2012,67147,3,1,19.7,46.3,2.6
2016,37806,3,1,20.4,81.8,5.2
2009,85000,3,1,19.0,66.1,1.8
2011,35000,3,1,25.4,37.48,1.6
2015,72035,1,1,25.5,99.0,2.5
2011,48500,3,1,16.0,90.0,2.5
2017,28854,3,1,18.16,86.8,6.7
2016,14351,1,0,18.88,184.0,35.55
2017,51087,1,1,17.9,163.7,7.75
2016,73000,1,1,25.0,69.0,2.2
2011,60000,1,0,18.1,147.9,3.8
2016,50000,1,1,12.8,102.0,15.65
2018,36797,1,0,19.27,167.62,39.47
2011,50000,3,1,18.5,85.8,1.5
2013,94000,1,1,12.8,102.0,8.85
2013,74000,1,1,12.55,168.5,17.9
2014,41016,3,0,16.95,78.9,5.08
2012,67000,1,1,22.32,126.32,6.25
2015,76927,1,0,15.73,174.33,22.75
2010,17088,3,1,18.6,79.4,1.46
2007,112808,1,1,17.8,68.0,2.05
2014,74980,1,1,20.0,68.0,4.08
2014,44600,3,0,23.1,67.04,4.55
2013,37000,1,0,20.0,107.3,14.0
2016,21000,3,1,15.8,121.3,10.9
2010,81245,3,1,18.9,67.1,2.45
2013,70000,1,0,10.0,170.0,15.8
2017,4018,3,1,18.88,110.4,8.25
2013,70000,1,0,13.73,148.0,8.5
2016,56532,1,1,16.0,140.0,15.54
2013,26875,3,1,16.8,34.2,2.35
2015,72599,3,1,22.5,67.04,4.32
2011,98000,1,1,22.32,126.32,5.2
2018,19500,3,1,18.6,81.83,5.85
2013,68000,3,1,16.02,93.7,6.25
2019,19654,1,0,14.0,155.0,17.63
2017,26000,1,1,23.65,88.5,9.75
2011,75020,1,1,22.07,73.9,4.1
2017,43773,1,1,16.0,140.0,13.54
2016,21000,1,0,17.9,201.15,56.0
2016,23280,3,1,18.7,88.7,6.5
2013,88000,1,1,23.4,74.0,4.75
2014,67000,3,1,17.01,121.3,5.6
2018,11000,3,1,18.6,81.83,6.35
2013,60669,3,1,16.8,116.3,4.95
2018,12000,1,1,27.4,98.6,8.5
2013,35000,3,1,17.1,121.3,4.5
2015,65000,1,1,24.2,98.6,5.5
2013,39929,1,1,20.77,88.8,6.56
2014,49000,3,1,24.07,67.1,2.3
2016,21456,3,1,20.36,78.9,4.55
2009,74000,1,0,17.0,105.0,7.75
2015,37000,3,1,18.6,81.83,5.25
2016,38000,1,0,22.69,190.0,23.99
2010,80000,3,1,14.49,92.7,1.79
2011,47000,1,0,14.21,203.0,13.9
2013,31000,1,0,17.68,174.33,18.95
2014,40000,3,1,20.51,67.04,2.49
2016,4152,3,1,25.17,53.3,3.15
2017,51000,1,1,21.66,108.62,6.45
2013,55000,1,1,22.07,73.9,4.25
2014,58500,3,1,22.74,47.3,2.75
2017,58620,3,1,18.6,81.83,7.14
2012,71172,3,1,17.0,80.0,3.5
2017,12000,1,1,22.54,88.73,7.3
2014,25000,3,1,20.51,67.04,2.75
2017,43000,1,1,22.54,88.73,8.2
2015,57022,3,0,17.21,103.6,6.51
2015,92000,1,1,20.0,68.05,4.25
2014,33372,3,1,18.6,85.8,6.21
2016,52625,1,1,24.0,70.0,4.58
2012,65537,0,1,26.83,38.4,2.1
2014,60138,3,1,19.81,68.05,4.09
2014,84000,1,0,19.3,141.0,10.75
2014,33450,3,0,23.1,67.04,4.4
2011,99606,1,0,16.07,181.0,10.5
2014,64000,1,1,20.77,88.8,7.25
2013,51000,1,1,20.0,68.05,3.2
2014,57000,3,1,16.47,74.0,3.95
2017,43200,1,1,13.68,147.8,18.6
2013,66000,1,0,22.32,126.3,5.7
2013,31000,3,1,17.92,62.1,1.75
2011,46000,1,0,16.55,147.51,10.99
2012,47346,1,0,16.55,147.51,14.5
2009,100000,1,1,17.0,105.0,3.11
2015,63856,3,0,13.7,153.86,13.96
2015,72996,1,1,22.32,126.32,7.11
2014,23000,1,1,24.5,98.6,6.9
2018,15985,3,1,18.6,81.83,7.77
2011,98000,1,1,12.8,102.0,5.5
2014,70089,3,1,18.6,81.83,5.35
2011,99000,1,1,13.6,63.0,4.5
2014,72000,1,1,20.34,103.2,4.75
2015,44194,1,0,16.36,187.7,32.8
2010,41650,1,1,11.5,171.0,10.99
2015,61717,3,0,18.9,82.0,5.57
2018,25302,1,1,25.4,73.97,5.9
2016,47016,3,1,15.29,121.3,9.43
2010,69000,3,1,20.36,78.9,2.9
2016,32700,3,1,19.4,86.8,3.68
2015,101337,1,0,12.55,168.5,21.67
2011,59000,1,0,16.55,140.0,12.5
2018,41736,1,0,11.36,171.5,19.92
2014,71649,1,1,25.1,98.6,6.75
2015,80606,1,1,25.1,98.6,6.96
2017,63262,3,1,21.7,67.0,3.25
2018,5456,1,1,28.4,74.0,8.65
2017,7500,3,0,23.1,67.04,5.0
2011,66000,1,1,15.1,140.0,5.5
2010,66770,3,1,20.36,78.9,2.6
2014,58472,3,1,19.81,68.05,3.41
2011,46687,3,1,22.0,81.8,2.7
2008,77000,3,0,9.7,163.5,5.5
2011,48000,3,0,14.74,184.0,9.75
2013,47000,1,1,21.64,84.8,4.25
2015,51530,3,1,18.9,67.1,3.2
2014,25789,1,1,23.4,74.0,6.85
2015,48000,1,1,25.8,98.6,4.5
2012,52000,1,1,28.4,74.0,3.55
2010,95637,0,1,13.2,93.7,1.9
2015,42076,1,0,13.0,201.1,21.8
2012,76000,1,1,13.0,168.5,13.5
2016,20487,3,1,22.7,53.64,2.66
2010,43000,3,1,16.8,116.3,3.75
2018,17000,3,0,19.16,158.2,32.0
2016,60805,1,1,26.0,98.6,8.07
2012,58775,1,1,19.33,138.1,5.64
2013,70181,1,0,17.68,174.33,23.99
2016,85827,1,1,20.77,88.76,7.5
2016,58205,1,0,19.27,167.62,27.0
2008,91000,1,1,19.3,73.9,2.85
2012,74000,1,1,19.01,108.45,6.35
2010,79324,1,1,21.1,73.9,3.3
2013,38623,3,1,19.1,85.8,5.0
2014,59923,1,1,22.9,74.0,6.46
2017,23360,3,1,21.1,55.2,3.75
2012,56661,3,1,15.1,73.0,3.61
2017,40318,1,0,14.16,174.3,43.74
2014,60000,1,0,15.73,174.33,20.0
2013,20000,1,1,14.07,83.1,5.25
2015,30000,3,0,18.0,117.3,8.65
2014,28000,3,0,16.93,103.6,7.75
2015,74000,3,1,23.1,67.04,4.15
2011,75000,1,1,11.5,171.0,10.85
2010,76000,3,0,11.3,170.0,5.53
2014,64889,1,0,15.5,105.0,11.5
2015,43000,1,1,19.67,126.2,9.25
2011,47490,3,1,17.5,75.0,2.29
2015,80000,1,1,22.77,98.59,7.0
2007,60000,3,1,18.2,64.0,1.65
2017,6006,3,1,20.73,91.1,8.25
2011,71703,3,0,14.74,181.03,9.14
2016,33000,3,1,17.8,86.7,6.5
2015,91000,1,1,19.87,83.8,5.75
2012,72000,2,1,26.2,58.2,2.85
2011,43000,3,1,16.47,73.9,2.1
2017,63770,1,1,19.67,126.2,13.55
2017,52000,1,1,16.3,170.0,20.0
2018,31427,1,0,15.68,177.0,59.72
2016,29000,1,1,27.39,74.0,6.5
2016,56000,1,1,28.09,88.5,7.5
2007,76000,3,1,15.0,104.68,2.15
2015,53615,1,1,22.7,126.24,8.44
2017,14800,3,1,17.0,73.75,5.48
2013,35433,3,1,18.5,85.8,4.2
2013,82966,1,1,16.8,110.0,7.2
2014,96000,1,1,23.4,74.0,4.8
2017,39528,1,1,25.32,77.0,5.83
2018,92056,1,1,13.68,147.8,18.39
2016,14930,3,1,21.4,83.1,5.85
2016,38000,1,1,27.3,98.6,6.21
2013,71000,3,1,17.0,80.0,3.65
2012,71000,1,1,23.0,90.0,3.7
2015,50000,1,0,19.27,167.62,30.0
2016,48163,3,1,19.1,82.0,4.85
2017,19168,3,0,18.9,82.0,6.93
2016,26000,3,1,22.74,47.3,2.6
2014,37400,3,1,18.2,82.5,1.89
2012,95000,3,0,13.7,157.75,10.0
2009,34000,1,0,16.55,147.51,9.95
2014,95000,1,1,12.8,102.0,9.45
2017,13689,1,0,17.9,136.0,28.25
2008,84000,3,1,19.81,68.05,1.8
2008,47000,3,1,17.5,85.8,1.4
2015,60001,1,0,21.66,103.52,7.25
2012,96000,1,1,21.1,73.9,3.6
2014,28246,3,1,17.8,86.7,4.94
2007,65000,3,1,18.9,67.1,1.25
2013,68000,1,1,22.07,73.9,4.8
2019,11209,1,0,12.62,158.0,31.15
2011,41980,3,1,17.0,80.0,3.3
2012,65000,1,1,25.44,57.6,2.4
2010,38000,3,1,14.8,130.2,2.0
2014,51000,3,1,20.51,67.04,3.1
2014,33855,3,1,15.0,103.6,5.09
2015,47037,1,1,22.77,98.59,7.0
2010,58000,3,1,13.2,94.0,2.5
2012,61240,1,0,22.48,190.0,17.5
2011,91211,3,1,20.92,67.1,2.1
2013,84000,1,0,15.73,174.33,17.75
2008,64226,2,1,17.3,57.5,1.45
2016,27210,1,1,27.3,98.6,5.85
2017,26322,1,1,28.09,88.5,8.9
2016,9107,3,1,20.4,81.8,5.15
2015,63983,1,0,19.27,170.0,16.56
2015,11000,3,0,15.5,120.7,16.0
2017,24852,1,0,26.59,74.0,8.08
2014,37632,3,0,18.9,82.0,4.5
2013,55000,3,1,16.95,97.7,4.3
2010,81448,3,1,19.0,66.1,2.6
2018,1900,3,1,25.17,53.3,4.45
2012,54957,3,0,17.1,121.4,5.37
2008,55000,3,1,18.9,67.0,1.75
2013,21983,1,0,18.88,184.0,16.5
2013,76000,1,0,18.48,177.0,19.0
2016,65000,1,1,25.0,69.01,2.8
2015,26000,1,1,22.54,88.73,6.2
2019,11571,3,1,16.8,34.2,3.8
2014,81000,1,1,25.2,74.0,6.1
2019,23154,1,1,23.0,98.96,11.65
2014,26856,3,0,16.5,86.8,4.15
2017,67489,1,1,13.68,147.8,16.5
2010,18000,3,1,18.5,80.0,2.25
2014,63003,1,1,22.32,126.32,6.75
2014,80000,1,1,15.1,140.0,9.4
2014,56658,1,1,20.64,108.5,5.39
2019,18592,1,1,26.59,74.0,8.51
2010,75695,3,1,13.7,88.8,1.85
2012,82000,1,1,22.9,74.0,2.5
2013,60000,1,1,22.07,73.9,4.75
2014,67000,1,1,23.0,90.0,5.5
2012,42750,3,1,17.0,118.0,6.33
2014,52398,1,1,25.44,57.6,2.47
2014,36657,3,1,16.2,62.1,3.3
2011,77000,1,1,11.57,138.1,3.5
2013,105072,1,1,14.24,174.5,13.28
2012,80000,3,0,11.25,150.0,9.5
2019,3102,1,1,20.37,108.45,14.01
2016,14656,1,1,24.4,71.0,6.99
2010,105000,1,0,13.2,170.0,11.0
2010,85046,3,1,18.06,75.0,2.3
2014,48000,1,0,16.36,187.7,26.5
2017,4000,3,0,16.0,160.0,17.75
2010,94000,3,0,10.1,152.0,4.8
2013,61110,3,1,18.6,85.8,4.57
2016,80000,1,1,24.4,71.0,3.5
2015,43190,1,1,19.01,108.5,7.61
2015,45000,1,0,18.25,187.74,25.0
2016,44178,3,1,18.9,82.0,5.88
2015,84415,1,1,12.99,100.6,13.5
2015,35000,3,1,18.5,80.0,4.6
2013,44000,1,1,22.77,98.59,4.9
2012,67635,3,1,17.0,118.0,5.25
2018,18385,3,0,14.8,121.36,12.41
2014,35000,1,1,22.07,73.9,3.8
2010,49000,1,0,19.27,170.0,8.95
2013,69000,1,1,22.7,89.84,7.2
2017,23228,3,1,14.4,65.0,4.5
2014,68462,1,1,26.59,74.0,4.15
2016,74611,1,1,25.1,88.5,7.94
2014,90000,1,1,19.01,108.45,7.25
2016,22000,3,1,18.9,67.1,3.7
2011,109500,1,1,25.44,57.6,1.5
2017,13363,1,1,16.0,140.0,12.0
2012,51000,3,1,19.81,68.05,2.2
2007,103000,1,1,13.93,138.0,3.6
2009,43002,3,1,20.36,78.9,1.92
2016,108000,1,0,11.36,171.5,20.5
2010,82407,1,1,17.5,106.0,4.25
2013,29000,3,1,18.9,82.0,3.2
2014,45000,1,1,23.4,74.0,3.85
2010,93401,1,1,23.0,90.0,3.48
2017,95802,1,1,25.83,99.0,4.55
2013,67443,1,1,20.77,88.8,5.75
2016,47681,3,0,16.8,116.3,8.73
2009,35000,3,1,19.7,46.3,1.7
2019,34688,1,1,24.3,88.5,10.49
2016,58000,1,1,22.9,74.0,7.55
2014,40000,3,1,17.57,88.7,3.95
2010,61000,3,1,17.0,80.0,3.25
2009,86000,1,1,19.4,70.0,2.75
2015,45000,1,1,21.43,87.2,7.35
2017,55000,3,1,17.0,73.75,4.7
2016,36855,3,1,15.29,121.3,8.77
2013,46821,3,1,20.36,78.9,3.42
2015,120000,3,1,18.6,76.8,2.5
2014,40000,3,1,13.24,102.5,5.25
2013,60000,1,0,15.73,174.33,14.5
2011,64984,3,0,16.95,78.9,3.45
2015,73204,3,0,24.07,67.1,3.3
2017,35000,1,1,24.3,88.5,6.5
2013,17729,3,1,21.1,55.2,3.65
2012,97000,1,1,20.0,115.0,7.25
2014,89614,1,1,22.0,126.2,6.01
2015,14000,3,1,18.9,67.1,2.8
2012,50000,3,1,17.0,80.0,4.0
2014,62505,3,1,17.4,117.3,5.95
2012,94900,1,1,16.8,110.0,5.35
2017,55000,1,1,17.6,153.86,12.0
2008,53934,3,1,18.9,67.1,2.69
2014,48000,3,1,18.0,86.7,2.75
2016,24000,3,1,24.7,47.3,2.8
2016,52001,3,1,17.01,121.3,6.45
2018,9565,3,1,23.84,84.0,5.88
2013,32953,3,1,18.6,85.8,4.65
2014,18000,3,1,21.1,55.2,2.5
2018,20446,3,0,12.6,191.34,51.35
2016,33016,1,1,22.54,88.73,6.85
2012,48000,1,1,23.59,67.05,5.25
2014,72022,1,1,21.43,87.2,9.23
2014,34000,1,0,20.7,113.98,22.0
2014,69000,1,1,20.14,88.8,5.19
2009,108000,3,0,13.7,157.75,4.35
2013,34700,1,0,10.0,170.0,24.5
2015,79000,1,1,17.8,75.0,5.75
2016,58197,3,0,18.0,117.3,9.19
2009,60000,3,0,19.2,80.0,2.99
2014,57000,1,1,26.59,74.0,3.89
2018,45555,1,1,26.0,98.6,11.73
2016,55137,3,1,14.0,35.0,3.11
2014,93325,1,1,17.2,138.1,14.45
2018,38000,1,1,24.52,88.5,8.7
2016,57738,1,1,24.0,70.0,5.04
2017,38282,1,1,28.09,88.5,8.5
2014,64000,1,0,19.27,170.0,15.65
2015,32000,1,1,20.5,91.72,5.65
2011,76000,0,1,26.3,67.1,2.0
2012,67200,3,1,15.04,103.6,3.9
2013,62655,1,0,18.88,184.0,14.5
2017,8471,3,1,18.9,81.86,5.0
2016,69000,1,0,11.36,171.5,19.75
2017,30090,1,0,19.6,108.45,11.44
2011,120000,1,1,18.0,75.0,1.75
2016,35939,3,1,12.3,185.0,30.42
2013,116694,1,1,15.1,140.0,9.57
2016,40448,1,1,15.96,62.1,3.5
2018,64456,1,1,24.3,88.5,10.46
2014,52782,1,1,20.5,91.72,4.85
2016,51672,3,1,19.5,88.76,5.68
2015,56073,3,0,13.7,157.75,13.25
2013,79000,3,1,18.9,67.1,3.0
2010,70200,3,0,14.53,138.1,5.0
2016,42000,3,1,16.1,85.0,4.75
2014,62000,3,1,16.47,74.0,5.35
2017,20000,3,1,18.9,81.86,5.98
2011,80000,1,1,21.5,88.8,3.5
2018,50234,3,1,18.9,81.86,4.77
2016,50003,3,1,21.4,83.1,5.45
2018,1000,3,0,20.3,84.0,6.85
2016,54897,1,0,26.59,74.0,7.3
2007,108995,3,1,15.3,65.3,1.25
2015,73000,1,1,22.7,118.0,8.25
2008,65000,3,1,16.1,88.2,2.71
2016,32000,3,1,19.1,82.0,3.6
2010,65000,3,1,18.5,80.0,3.0
2016,21600,3,0,23.1,67.04,4.65
2010,39000,1,0,14.84,170.0,9.5
2011,58075,3,1,17.5,85.8,2.95
2011,58000,3,1,15.04,103.6,3.0
2015,58000,1,1,25.2,74.0,5.95
2008,89000,3,0,14.53,138.1,4.0
2008,72000,3,1,13.5,130.0,2.5
2017,1800,3,0,16.05,110.4,11.37
2013,46230,3,1,19.81,68.05,3.1
2018,5000,3,1,18.6,81.83,6.5
2014,66000,1,1,26.0,98.6,5.7
2013,119000,1,1,12.99,100.0,8.0
2016,45000,3,1,25.17,53.3,2.6
2009,66149,3,1,19.0,66.1,2.45
2014,42070,3,0,14.8,120.7,11.57
2012,35503,3,1,18.9,67.1,2.3
2016,41460,1,1,25.2,74.0,5.9
2015,40600,3,0,17.0,121.3,7.2
2013,87000,1,0,22.0,126.2,5.9
2014,30000,3,1,16.8,116.3,6.0
2010,27089,3,1,16.0,66.7,1.95
2016,53702,1,1,23.59,67.04,6.55
2015,51000,1,0,27.03,190.0,25.0
2012,36542,1,1,20.0,68.05,2.65
2012,65000,1,0,22.69,190.0,14.0
2014,32000,3,1,22.74,47.3,2.1
2017,24393,1,1,13.68,147.8,20.4
2019,1000,3,1,18.78,75.0,5.68
2014,28238,3,1,13.24,102.5,5.55
2013,59000,1,1,13.5,175.56,12.75
2012,92000,3,1,14.8,130.2,3.35
2013,56840,3,1,22.74,47.3,1.55
2013,62746,1,1,20.54,103.6,5.9
2012,96000,1,0,12.35,187.74,18.98
2014,24000,3,1,13.7,153.86,11.51
2016,54000,1,1,20.77,88.76,7.75
2016,90000,1,1,12.99,100.6,13.9
2010,40000,3,1,15.0,90.0,1.35
2017,16100,3,0,17.1,121.4,11.6
2017,3600,1,0,21.5,108.5,12.25
2011,52000,3,1,17.0,118.0,3.8
2014,54000,1,1,20.0,68.05,3.25
2016,15399,3,1,18.7,88.7,6.4
2012,75000,3,1,16.47,73.9,3.95
2010,76752,3,1,17.4,117.3,3.57
2015,70000,0,1,26.2,58.2,3.65
2013,46125,3,0,12.0,187.4,12.5
2014,35000,1,0,18.12,190.0,23.0
2012,62729,1,1,12.05,120.0,6.32
2012,34000,1,1,20.54,103.6,3.4
2009,32000,3,1,16.1,37.0,0.9
2017,21000,3,0,14.28,138.03,18.0
2007,40000,3,1,13.8,70.0,1.1
2012,78000,3,1,18.6,79.4,2.0
2012,52000,1,1,21.43,86.79,6.5
2014,65213,1,1,16.0,140.0,9.45
2009,62500,3,1,20.36,78.9,2.1
2015,68000,3,0,14.28,138.03,9.75
2014,40748,3,1,14.53,138.0,6.3
2013,60000,1,0,17.32,184.0,21.0
2014,12400,1,1,21.9,88.8,4.65
2013,87000,1,0,19.27,167.62,17.0
2013,20248,1,1,21.1,73.9,4.35
2017,52383,1,1,19.67,126.2,14.82
2018,1000,1,0,13.6,177.0,40.0
2016,85000,1,1,14.95,93.7,6.15
2014,47000,1,1,12.99,100.6,11.25
2018,17585,3,0,19.16,157.7,32.0
2017,34613,1,1,28.4,74.0,6.24
2014,54000,3,1,16.1,85.0,4.5
2015,16900,3,1,20.36,78.9,3.87
2013,62334,3,1,20.36,78.9,2.75
2018,23714,3,1,21.4,83.1,6.57
2010,52325,3,1,16.36,93.7,2.0
2012,50000,3,1,19.4,86.8,3.65
2016,55746,1,1,22.9,74.0,6.95
2014,54000,3,1,20.14,81.86,5.5
2013,43000,1,1,16.0,140.0,7.0
2014,40000,1,0,13.0,201.1,24.0
2016,51944,1,0,19.27,170.0,32.5
2015,46950,1,1,21.27,88.76,6.45
2015,23000,1,0,19.3,141.0,15.75
2014,54546,3,1,17.0,118.0,5.5
2015,51535,1,0,12.55,168.5,19.03
2013,45000,1,0,17.32,184.0,15.25
2012,46004,3,1,20.92,67.1,2.4
2014,77395,1,0,17.11,174.33,14.35
2018,22974,3,0,18.0,117.3,11.97
2015,65012,1,1,14.24,174.5,18.9
2017,17125,3,1,18.9,82.0,5.4
2015,90413,3,1,15.1,73.0,2.95
2013,37000,3,1,16.47,73.9,5.1
2006,65000,3,1,18.9,67.0,1.5
2011,66000,3,1,17.0,118.0,4.9
2010,86000,3,1,14.8,130.2,2.9
2010,18000,3,1,18.5,80.0,2.3
2018,35070,1,1,24.0,70.0,5.99
2011,42000,3,0,14.4,103.6,3.4
2009,40000,3,1,20.36,78.9,1.7
2009,43000,3,1,17.0,80.0,1.99
2012,65000,3,1,18.6,79.4,2.5
2013,74000,1,1,22.07,73.9,4.85
2010,51192,3,1,15.6,70.0,2.65
2015,66339,1,1,25.1,98.6,6.9
2013,90200,1,1,20.0,68.05,3.5
2015,57854,1,1,12.99,100.6,12.5
2017,32000,3,0,19.12,91.1,9.2
2015,29631,3,0,18.9,82.0,4.9
2014,54173,3,1,18.88,123.24,5.55
2014,50000,3,0,14.7,177.6,13.5
2015,78000,3,1,16.1,88.2,4.5
2013,65000,1,0,11.8,180.0,34.0
2012,120000,1,1,12.8,102.0,12.0
2015,14000,1,1,28.4,74.0,5.25
2014,57456,1,0,17.68,174.33,21.56
2012,44450,1,0,22.48,190.0,24.68
2013,63777,3,1,18.5,82.9,3.67
2016,31000,1,0,17.05,190.0,29.5
2012,60000,3,1,17.6,88.73,3.1
2015,78008,1,1,17.0,70.0,2.9
2009,27078,3,0,10.98,114.4,15.95
2011,57275,1,1,19.7,103.6,4.5
2014,45000,1,1,24.0,70.0,3.49
2014,57319,1,1,25.2,74.0,4.25
2008,121097,1,1,24.0,88.76,1.9
2012,72000,3,1,17.0,118.0,5.75
2013,36000,1,0,16.55,147.51,14.0
2013,86000,1,1,19.5,75.0,2.5
2013,37613,1,0,22.69,190.0,13.95
2007,100000,3,1,16.6,68.0,1.6
2016,5240,3,0,21.9,37.48,3.6
2018,20000,0,1,15.1,73.0,4.5
2019,16862,3,1,20.89,81.8,6.06
2013,59254,3,1,17.5,85.8,5.29
2014,60000,1,1,22.7,89.84,5.75
2014,47674,3,1,19.1,85.8,5.72
2014,61517,3,0,16.95,78.9,4.39
2016,62946,1,1,15.1,140.0,11.05
2015,66823,1,1,22.54,88.73,4.83
2012,107000,1,1,21.27,88.76,4.5
2017,24000,3,0,14.3,103.52,8.75
2016,54317,3,1,17.4,117.3,8.4
2016,10200,3,1,19.1,82.0,4.99
2016,24337,1,1,26.0,98.6,8.18
2012,79000,3,1,18.4,86.8,2.9
2015,40500,1,1,28.09,88.5,7.1
2016,23000,1,1,26.59,74.0,7.05
2015,63050,3,0,11.1,158.8,17.5
2008,78000,3,0,14.53,138.1,3.41
2012,66245,3,1,17.0,118.0,5.68
2007,74112,1,1,12.05,120.0,4.1
2011,87670,3,1,13.4,157.8,4.0
2015,10000,1,0,18.88,184.0,30.0
2007,62493,3,1,15.0,104.68,1.8
2015,44620,3,1,20.73,91.1,6.93
2013,60000,1,1,12.99,100.0,7.9
2014,110000,1,0,13.01,194.3,14.4
2011,45000,3,0,11.74,186.0,13.5
2014,40000,0,1,26.6,58.16,3.15
2012,49008,3,1,19.7,46.3,2.88
2016,31000,3,1,24.7,47.3,2.15
2013,8000,3,1,16.95,97.7,3.75
2019,171,3,1,24.7,47.3,3.6
2018,2100,3,1,24.07,67.1,3.6
2018,20667,3,0,18.9,81.86,7.55
2015,50000,1,1,24.2,98.6,4.7
2010,100030,1,1,18.8,90.0,1.6
2011,75372,1,1,16.52,123.7,3.34
2016,60475,3,0,18.0,117.3,9.1
2019,18453,3,1,18.9,81.86,6.17
2008,96578,1,1,22.0,126.2,2.5
2016,31001,3,1,18.44,75.0,3.0
2012,65900,1,1,22.32,126.32,5.75
2017,26246,3,1,15.29,121.3,10.75
2013,62700,3,1,20.51,67.04,2.85
2008,90000,3,0,10.2,180.0,6.5
2016,36000,3,0,16.8,118.0,9.45
2016,46000,1,1,27.39,74.0,6.75
2017,73003,1,1,26.0,98.6,7.75
2014,46566,1,1,22.54,88.76,4.4
2014,103788,1,1,19.01,108.5,5.67
2016,45000,1,0,19.6,108.45,11.5
2009,120000,3,1,18.9,67.1,1.69
2009,97359,1,1,17.1,110.0,1.8
2016,62000,3,1,18.5,85.8,3.2
2019,18373,1,0,22.48,187.74,45.86
2016,60453,3,1,16.47,74.0,5.1
2010,69009,3,1,15.6,70.0,2.4
2013,30000,1,0,18.88,184.0,22.0
2012,70707,1,1,22.32,126.32,4.28
2015,64677,1,1,20.45,83.8,5.67
2018,3000,3,0,18.9,81.86,6.2
2013,49000,1,0,17.05,184.0,14.49
2010,71000,1,1,21.1,73.9,3.0
2010,52000,3,1,19.81,68.05,2.25
2019,5377,3,1,16.8,116.3,11.45
2014,65000,1,0,11.18,184.0,10.5
2015,92708,1,1,22.7,89.84,7.48
2010,48105,3,1,19.7,46.3,3.1
2011,46759,3,1,16.47,74.0,2.55
2013,62000,1,1,22.07,73.9,3.5
2012,35175,1,1,22.07,73.9,2.59
2013,70000,1,1,20.77,88.8,5.45
2017,30000,1,1,22.77,98.59,6.0
2016,66618,1,0,11.36,171.5,15.49
2010,69300,3,0,10.8,150.0,12.5
2017,22000,3,1,18.88,123.24,7.85
2013,75000,1,1,16.8,110.0,6.0
2016,43706,3,1,17.57,88.7,4.0
2012,65000,1,1,22.3,74.0,2.5
2015,76128,1,1,26.59,74.0,5.5
2010,39852,3,1,16.0,90.0,1.59
2017,18673,3,1,18.6,81.83,6.22
2016,11583,3,1,21.1,55.2,2.75
2017,50000,1,0,17.9,136.0,25.0
2014,77000,3,1,23.1,67.04,2.8
2014,54890,3,1,17.8,76.8,2.45
2016,21000,3,0,19.0,88.7,6.35
2009,58557,1,0,16.07,181.0,8.0
2014,70000,1,1,19.01,108.45,8.25
2017,16000,3,0,17.01,110.4,5.95
2018,8899,1,1,13.68,147.8,19.92
2016,83629,1,1,25.44,56.3,3.15
2014,35059,3,0,17.21,189.0,5.75
2016,44875,1,0,22.32,126.32,8.01
2017,25095,3,1,18.16,86.8,6.48
2007,59000,3,1,16.1,37.0,0.75
2014,36000,1,1,26.0,98.6,5.0
2012,37000,1,1,16.0,140.0,7.75
2010,90000,1,1,20.0,68.0,2.6
2018,17000,3,1,17.0,121.36,9.2
2015,42575,3,1,18.6,81.83,5.05
2013,74000,1,1,20.46,83.8,5.5
2013,47234,1,1,12.99,100.6,9.35
2016,10000,3,1,24.07,67.1,3.5
2016,49389,3,1,19.49,67.04,4.26
2016,12000,3,0,23.1,67.04,4.25
2010,65000,3,1,11.7,178.0,11.75
2015,89000,3,1,17.01,121.3,7.5
2009,72000,3,0,15.0,100.0,3.25
2012,49000,3,1,17.5,85.8,4.9
2014,51355,1,0,14.84,170.0,27.0
2017,13460,3,1,18.6,81.86,8.91
2014,35642,3,0,17.01,121.4,6.69
2014,52895,1,1,17.3,163.7,6.02
2010,93000,3,1,14.28,138.03,4.5
2011,70000,3,1,19.0,66.1,2.0
2012,32048,1,1,23.08,63.1,2.4
2013,4700,3,1,25.4,37.48,1.2
2014,71800,1,1,23.4,74.0,2.9
2016,45000,1,0,17.32,184.0,27.0
2016,15388,1,1,25.8,98.6,7.5
2016,43000,1,0,14.16,174.3,39.5
2012,85112,1,1,23.2,73.94,3.39
2018,37804,1,1,15.4,120.0,12.4
2014,45000,1,1,28.09,88.5,6.85
2011,116000,1,1,21.43,138.0,5.75
2015,100073,1,1,25.0,69.0,2.0
2015,22000,3,1,16.47,74.0,3.8
2017,9500,3,0,14.62,149.92,16.35
2019,17705,3,1,21.4,83.1,8.7
2016,12000,3,1,21.4,83.1,6.1
2013,51000,1,0,23.8,112.0,21.94
2015,51000,3,1,20.92,67.1,2.65
2017,42527,3,1,20.4,81.8,5.27
2014,45000,1,1,22.1,74.0,2.48
2011,70000,1,1,12.8,102.0,6.0
2009,92000,1,1,11.5,171.0,8.9
2012,57156,1,0,18.88,184.0,18.0
2016,53211,3,1,16.8,138.02,11.64
